whenGreenFlag,show,timerReset,doIf,&,>,mouseX,<,doIfElse,=,readVariable,mouseY,broadcast:,lookLike:,setSizeTo:,*,heading:,turnLeft:,turnRight:,student,timestamp
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390065
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390075
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390085
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390095
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390105
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390115
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390125
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1493390135
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390145
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1493390155
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1493390165
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1493390175
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390185
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1493390195
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1493390205
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390215
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1493390225
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1493390235
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1493390245
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1493390255
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1493390265
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1493390275
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1493390285
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390295
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1493390305
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1493390315
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1493390325
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1493390335
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1493390345
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1493390355
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390365
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1493390375
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1493390385
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1493390395
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1493390405
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1493390415
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1493390425
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390435
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1493390445
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1493390455
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1493390465
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1493390475
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1493390485
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1493390495
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1493390505
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1493390515
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1493390525
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1493390535
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1493390545
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1493390555
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1493390565
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1493390575
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1493390585
